tv_symbol,screener_slug,bse_code,isin,name
NSE:SETL,SETL,,INE0M4D01010,Standard Engineering Technology Limited
NSE:SEYAIND,SEYAIND,,INE573R01012,Seya Industries Limited
NSE:SFL,SFL,,INE916U01025,Sheela Foam Limited
NSE:SGFIN,SGFIN,,INE618R01015,SG Finserve Limited
NSE:SGIL,SGIL,,INE00QT01015,Synergy Green Industries Limited
NSE:SGL,SGL,,INE353H01010,STL Global Limited
NSE:SGMART,SGMART,,INE385F01024,SG Mart Limited
NSE:SHADOWFAX,SHADOWFAX,,INE12UN01015,Shadowfax Technologies Limited
NSE:SHAH,SHAH,,INE482J01021,Shah Metacorp Limited
NSE:SHAHALLOYS,SHAHALLOYS,,INE640C01011,Shah Alloys Limited
NSE:SHAILY,SHAILY,,INE151G01028,Shaily Engineering Plastics Limited
NSE:SHAKTIPUMP,SHAKTIPUMP,,INE908D01010,Shakti Pumps (India) Limited
NSE:SHALBY,SHALBY,,INE597J01018,Shalby Limited
NSE:SHALPAINTS,SHALPAINTS,,INE849C01026,Shalimar Paints Limited
NSE:SHANKARA,SHANKARA,,INE274V01019,Shankara Building Products Limited
NSE:SHANTI,SHANTI,,INE933X01016,Shanti Overseas (India) Limited
NSE:SHANTIGEAR,SHANTIGEAR,,INE631A01022,Shanthi Gears Limited
NSE:SHANTIGOLD,SHANTIGOLD,,INE06ZD01017,Shanti Gold International Limited
NSE:SHARDACROP,SHARDACROP,,INE221J01015,Sharda Cropchem Limited
NSE:SHARDAMOTR,SHARDAMOTR,,INE597I01028,Sharda Motor Industries Limited
NSE:SHARDUL,SHARDUL,,INE037B01020,Shardul Securities Limited
NSE:SHAREINDIA,SHAREINDIA,,INE932X01026,Share India Securities Limited
NSE:SHBAJRG,SHBAJRG,,INE402H01015,Shri Bajrang Alliance Limited
NSE:SHEKHAWATI,SHEKHAWATI,,INE268L01046,Shekhawati Industries Limited
NSE:SHEMAROO,SHEMAROO,,INE363M01019,Shemaroo Entertainment Limited
NSE:SHILCTECH,SHILCTECH,,INE024F01011,Shilchar Technologies Limited
NSE:SHILPAMED,SHILPAMED,,INE790G01031,Shilpa Medicare Limited
NSE:SHINDL,SHINDL,,INE220Z01013,Sharat Industries Limited
NSE:SHIVALIK,SHIVALIK,,INE788J01021,Shivalik Rasayan Limited
NSE:SHIVAMAUTO,SHIVAMAUTO,,INE637H01024,Shivam Autotech Limited
NSE:SHIVAMILLS,SHIVAMILLS,,INE644Y01017,Shiva Mills Limited
NSE:SHIVATEX,SHIVATEX,,INE705C01020,Shiva Texyarn Limited
NSE:SHIVAUM,SHIVAUM,,INE719F01016,Shiv Aum Steels Limited
NSE:SHK,SHK,,INE500L01026,S H Kelkar and Company Limited
NSE:SHOPERSTOP,SHOPERSTOP,,INE498B01024,Shoppers Stop Limited
NSE:SHRADHA,SHRADHA,,INE715Y01031,Shradha Realty Limited
NSE:SHREDIGCEM,SHREDIGCEM,,INE232A01011,Shree Digvijay Cement Co.Ltd
NSE:SHREECEM,SHREECEM,,INE070A01015,SHREE CEMENT LIMITED
NSE:SHREEJISPG,SHREEJISPG,,INE1B6101010,Shreeji Shipping Global Limited
NSE:SHREEPUSHK,SHREEPUSHK,,INE712K01011,Shree Pushkar Chemicals & Fertilisers Limited
NSE:SHREERAMA,SHREERAMA,,INE879A01019,Shree Rama Multi-Tech Limited
NSE:SHRENIK,SHRENIK,,INE632X01030,Shrenik Limited
NSE:SHREYANIND,SHREYANIND,,INE231C01019,Shreyans Industries Limited
NSE:SHRIKRISH,SHRIKRISH,,INE997I01012,Shri Krishna Devcon Limited
NSE:SHRINGARMS,SHRINGARMS,,INE1B3L01017,Shringar House of Mangalsutra Limited
NSE:SHRIPISTON,SHRIPISTON,,INE526E01018,Shriram Pistons & Rings Limited
NSE:SHRIRAMFIN,SHRIRAMFIN,,INE721A01047,Shriram Finance Limited
NSE:SHRIRAMPPS,SHRIRAMPPS,,INE217L01019,Shriram Properties Limited
NSE:SHYAMCENT,SHYAMCENT,,INE979R01011,Shyam Century Ferrous Limited
NSE:SHYAMMETL,SHYAMMETL,,INE810G01011,Shyam Metalics and Energy Limited
NSE:SHYAMTEL,SHYAMTEL,,INE635A01023,Shyam Telecom Limited
NSE:SICAGEN,SICAGEN,,INE176J01011,Sicagen India Limited
NSE:SICALLOG,SICALLOG,,INE075B01020,Sical Logistics Limited
NSE:SIEMENS,SIEMENS,,INE003A01024,Siemens Limited
NSE:SIGACHI,SIGACHI,,INE0D0K01022,Sigachi Industries Limited
NSE:SIGIND,SIGIND,,INE529F01035,Signet Industries Limited
NSE:SIGMA,SIGMA,,INE0A0S01028,Sigma Solve Limited
NSE:SIGMAADV,SIGMAADV,,INE933B01012,SIGMA ADVANCED SYSTEMS LIMITED
NSE:SIGNATURE,SIGNATURE,,INE903U01023,Signatureglobal (India) Limited
NSE:SIGNPOST,SIGNPOST,,INE0KGZ01021,Signpost India Limited
NSE:SIKA,SIKA,,INE438E01032,Sika Interplant Systems Limited
NSE:SIKKO,SIKKO,,INE112X01025,Sikko Industries Limited
NSE:SIL,SIL,,INE173A01025,Standard Industries Limited
NSE:SILGO,SILGO,,INE01II01013,Silgo Retail Limited
NSE:SILINV,SILINV,,INE923A01015,SIL Investments Limited
NSE:SILLYMONKS,SILLYMONKS,,INE203Y01012,Silly Monks Entertainment Limited
NSE:SILVERTUC,SILVERTUC,,INE625X01026,Silver Touch Technologies Limited
NSE:SIMPLEXINF,SIMPLEXINF,,INE059B01024,Simplex Infrastructures Limited
NSE:SINCLAIR,SINCLAIR,,INE985A01022,Sinclairs Hotels Limited
NSE:SINDHUTRAD,SINDHUTRAD,,INE325D01025,Sindhu Trade Links Limited
NSE:SINGERIND,SINGERIND,,INE638A01035,Singer India Limited
NSE:SINTERCOM,SINTERCOM,,INE129Z01016,Sintercom India Limited
NSE:SIRCA,SIRCA,,INE792Z01011,Sirca Paints India Limited
NSE:SIS,SIS,,INE285J01028,SIS LIMITED
NSE:SITINET,SITINET,,INE965H01011,Siti Networks Limited
NSE:SIYSIL,SIYSIL,,INE076B01028,Siyaram Silk Mills Limited
NSE:SJS,SJS,,INE284S01014,S.J.S. Enterprises Limited
NSE:SJVN,SJVN,,INE002L01015,SJVN Limited
NSE:SKFINDIA,SKFINDIA,,INE640A01023,SKF India Limited
NSE:SKFINDUS,SKFINDUS,,INE2J8701016,SKF India (Industrial) Limited
NSE:SKIPPER,SKIPPER,,INE439E01022,Skipper Limited
NSE:SKMEGGPROD,SKMEGGPROD,,INE411D01023,SKM Egg Products Export (India) Limited
NSE:SKYGOLD,SKYGOLD,,INE01IU01018,SKY GOLD AND DIAMONDS LIMITED
NSE:SMARTLINK,SMARTLINK,,INE178C01020,Smartlink Holdings Limited
NSE:SMARTWORKS,SMARTWORKS,,INE0NAZ01010,Smartworks Coworking Spaces Limited
NSE:SMCGLOBAL,SMCGLOBAL,,INE103C01036,SMC Global Securities Limited
NSE:SMLMAH,SMLMAH,,INE294B01019,SML Mahindra Limited
NSE:SMLT,SMLT,,INE017W01010,Sarthak Metals Limited
NSE:SMSPHARMA,SMSPHARMA,,INE812G01025,SMS Pharmaceuticals Limited
NSE:SNOWMAN,SNOWMAN,,INE734N01019,Snowman Logistics Limited
NSE:SOBHA,SOBHA,,INE671H01015,Sobha Limited
NSE:SOFTTECH,SOFTTECH,,INE728Z01015,Softtech Engineers Limited
NSE:SOLARA,SOLARA,,INE624Z01016,Solara Active Pharma Sciences Limited
NSE:SOLARINDS,SOLARINDS,,INE343H01029,Solar Industries India Limited
NSE:SOLARWORLD,SOLARWORLD,,INE0TY101024,Solarworld Energy Solutions Limited
NSE:SOLEX,SOLEX,,INE880Y01017,Solex Energy Limited
NSE:SOMANYCERA,SOMANYCERA,,INE355A01028,Somany Ceramics Limited
NSE:SOMATEX,SOMATEX,,INE314C01013,Soma Textiles & Industries Limited
NSE:SOMICONVEY,SOMICONVEY,,INE323J01019,Somi Conveyor Beltings Limited
NSE:SONACOMS,SONACOMS,,INE073K01018,Sona BLW Precision Forgings Limited
NSE:SONAL,SONAL,,INE321M01017,Sonal Mercantile Limited
NSE:SONAMLTD,SONAMLTD,,INE00LM01029,SONAM LIMITED
NSE:SONATSOFTW,SONATSOFTW,,INE269A01021,Sonata Software Limited
NSE:SOTL,SOTL,,INE035D01020,Savita Oil Technologies Limited
NSE:SOUTHBANK,SOUTHBANK,,INE683A01023,The South Indian Bank Limited
NSE:SOUTHWEST,SOUTHWEST,,INE980Y01015,South West Pinnacle Exploration Limited
NSE:SPAL,SPAL,,INE212I01016,S. P. Apparels Limited
NSE:SPANDANA,SPANDANA,,INE572J01011,Spandana Sphoorty Financial Limited
NSE:SPARC,SPARC,,INE232I01014,Sun Pharma Advanced Research Company Limited
NSE:SPCENET,SPCENET,,INE970N01027,Spacenet Enterprises India Limited
NSE:SPECIALITY,SPECIALITY,,INE247M01014,Speciality Restaurants Limited
NSE:SPECTRUM,SPECTRUM,,INE01EO01010,Spectrum Electrical Industries Limited
NSE:SPENCERS,SPENCERS,,INE020801028,Spencer's Retail Limited
NSE:SPIC,SPIC,,INE147A01011,Southern Petrochemicals Industries Corporation  Limited
NSE:SPLIL,SPLIL,,INE978G01016,SPL Industries Limited
NSE:SPLPETRO,SPLPETRO,,INE663A01033,Supreme Petrochem Limited
NSE:SPMLINFRA,SPMLINFRA,,INE937A01023,SPML Infra Limited
NSE:SPORTKING,SPORTKING,,INE885H01029,Sportking India Limited
NSE:SRD,SRD,,INE01NE01012,Shankar Lal Rampal Dye-Chem Limited
NSE:SREEL,SREEL,,INE099F01013,Sreeleathers Limited
NSE:SRF,SRF,,INE647A01010,SRF Limited
NSE:SRGHFL,SRGHFL,,INE559N01010,SRG Housing Finance Limited
NSE:SRHHYPOLTD,SRHHYPOLTD,,INE917H01012,Sree Rayalaseema Hi-Strength Hypo Limited
NSE:SRM,SRM,,INE0R6Z01013,SRM Contractors Limited
NSE:SRTL,SRTL,,INE19GK01015,Shree Ram Twistex Limited
NSE:SSDL,SSDL,,INE0PQ101010,Saraswati Saree Depot Limited
NSE:SSWL,SSWL,,INE802C01033,Steel Strips Wheels Limited
NSE:STALLION,STALLION,,INE0RYC01010,Stallion India Fluorochemicals Limited
NSE:STANLEY,STANLEY,,INE01A001028,Stanley Lifestyles Limited
NSE:STAR,STAR,,INE939A01011,Strides Pharma Science Limited
NSE:STARCEMENT,STARCEMENT,,INE460H01021,Star Cement Limited
NSE:STARHEALTH,STARHEALTH,,INE575P01011,Star Health and Allied Insurance Company Limited
NSE:STARPAPER,STARPAPER,,INE733A01018,Star Paper Mills Limited
NSE:STARTECK,STARTECK,,INE992I01013,Starteck Finance Limited
NSE:STCINDIA,STCINDIA,,INE655A01013,The State Trading Corporation of India Limited
NSE:STEELCAS,STEELCAS,,INE124E01038,Steelcast Limited
NSE:STEELCITY,STEELCITY,,INE395H01011,Steel City Securities Limited
NSE:STEELXIND,STEELXIND,,INE503B01021,STEEL EXCHANGE INDIA LIMITED
NSE:STEL,STEL,,INE577L01016,Stel Holdings Limited
NSE:STERTOOLS,STERTOOLS,,INE334A01023,Sterling Tools Limited
NSE:STLNETWORK,STLNETWORK,,INE1VXE01018,STL Networks Limited
NSE:STLTECH,STLTECH,,INE089C01029,Sterlite Technologies Limited
NSE:STOVEKRAFT,STOVEKRAFT,,INE00IN01015,Stove Kraft Limited
NSE:STUDDS,STUDDS,,INE00Q601028,Studds Accessories Limited
NSE:STYL,STYL,,INE04VU01023,Seshaasai Technologies Limited
NSE:STYLAMIND,STYLAMIND,,INE239C01020,Stylam Industries Limited
NSE:STYLEBAAZA,STYLEBAAZA,,INE01FR01028,Baazar Style Retail Limited
NSE:STYRENIX,STYRENIX,,INE189B01011,Styrenix Performance Materials Limited
NSE:SUBEXLTD,SUBEXLTD,,INE754A01055,Subex Limited
NSE:SUBROS,SUBROS,,INE287B01021,Subros Limited
NSE:SUDARCOLOR,SUDARCOLOR,,INE492A01029,Sudarshan Colorants India Limited
NSE:SUDARSCHEM,SUDARSCHEM,,INE659A01023,Sudarshan Chemical Industries Limited
NSE:SUDEEPPHRM,SUDEEPPHRM,,INE0QPI01025,Sudeep Pharma Limited
NSE:SUKHJITS,SUKHJITS,,INE450E01029,Sukhjit Starch & Chemicals Limited
NSE:SULA,SULA,,INE142Q01026,Sula Vineyards Limited
NSE:SUMEETINDS,SUMEETINDS,,INE235C01036,Sumeet Industries Limited
NSE:SUMICHEM,SUMICHEM,,INE258G01013,Sumitomo Chemical India Limited
NSE:SUMIT,SUMIT,,INE748Z01013,Sumit Woods Limited
NSE:SUMMITSEC,SUMMITSEC,,INE519C01017,Summit Securities Limited
NSE:SUNCLAY,SUNCLAY,,INE0Q3R01026,Sundaram Clayton Limited
NSE:SUNDARAM,SUNDARAM,,INE108E01023,Sundaram Multi Pap Limited
NSE:SUNDARMFIN,SUNDARMFIN,,INE660A01013,Sundaram Finance Limited
NSE:SUNDRMBRAK,SUNDRMBRAK,,INE073D01013,Sundaram Brake Linings Limited
NSE:SUNDRMFAST,SUNDRMFAST,,INE387A01021,Sundram Fasteners Limited
NSE:SUNDROP,SUNDROP,,INE209A01019,Sundrop Brands Limited
NSE:SUNFLAG,SUNFLAG,,INE947A01014,Sunflag Iron And Steel Company Limited
NSE:SUNPHARMA,SUNPHARMA,,INE044A01036,Sun Pharmaceutical Industries Limited
NSE:SUNTECK,SUNTECK,,INE805D01034,Sunteck Realty Limited
NSE:SUNTV,SUNTV,,INE424H01027,Sun TV Network Limited
NSE:SUPERHOUSE,SUPERHOUSE,,INE712B01010,Superhouse Limited
NSE:SUPERSPIN,SUPERSPIN,,INE662A01027,Super Spinning Mills Limited
NSE:SUPRAJIT,SUPRAJIT,,INE399C01030,Suprajit Engineering Limited
NSE:SUPREME,SUPREME,,INE822E01011,Supreme Holdings & Hospitality (India) Limited
NSE:SUPREMEENG,SUPREMEENG,,INE319Z01021,Supreme Engineering Limited
NSE:SUPREMEIND,SUPREMEIND,,INE195A01028,Supreme Industries Limited
NSE:SUPREMEINF,SUPREMEINF,,INE550H01011,Supreme Infrastructure India Limited
NSE:SUPRIYA,SUPRIYA,,INE07RO01027,Supriya Lifescience Limited
NSE:SURAJEST,SURAJEST,,INE843S01025,Suraj Estate Developers Limited
NSE:SURAJLTD,SURAJLTD,,INE713C01016,Suraj Limited
NSE:SURAKSHA,SURAKSHA,,INE877V01027,Suraksha Diagnostic Limited
NSE:SURANASOL,SURANASOL,,INE272L01022,Surana Solar Limited
NSE:SURANAT&P,SURANAT&P,,INE130B01031,Surana Telecom and Power Limited
NSE:SURYALA,SURYALA,,INE132C01027,Suryalata Spinning Mills Limited
NSE:SURYALAXMI,SURYALAXMI,,INE713B01026,Suryalakshmi Cotton Mills Limited
NSE:SURYAROSNI,SURYAROSNI,,INE335A01020,Surya Roshni Limited
NSE:SURYODAY,SURYODAY,,INE428Q01011,Suryoday Small Finance Bank Limited
NSE:SUTLEJTEX,SUTLEJTEX,,INE645H01027,Sutlej Textiles and Industries Limited
NSE:SUVEN,SUVEN,,INE495B01038,Suven Life Sciences Limited
NSE:SUVIDHAA,SUVIDHAA,,INE018401013,Suvidhaa Infoserve Limited
NSE:SUYOG,SUYOG,,INE442P01014,Suyog Telematics Limited
NSE:SUZLON,SUZLON,,INE040H01021,Suzlon Energy Limited
NSE:SVLL,SVLL,,INE00CE01017,Shree Vasu Logistics Limited
NSE:SVPGLOB,SVPGLOB,,INE308E01029,SVP GLOBAL TEXTILES LIMITED
NSE:SWANCORP,SWANCORP,,INE665A01038,SWAN CORP LIMITED
NSE:SWANDEF,SWANDEF,,INE542F01020,Swan Defence and Heavy Industries Limited
NSE:SWARAJENG,SWARAJENG,,INE277A01016,Swaraj Engines Limited
NSE:SWELECTES,SWELECTES,,INE409B01013,Swelect Energy Systems Limited
NSE:SWIGGY,SWIGGY,,INE00H001014,Swiggy Limited
NSE:SWSOLAR,SWSOLAR,,INE00M201021,Sterling and Wilson Renewable Energy Limited
NSE:SYMPHONY,SYMPHONY,,INE225D01027,Symphony Limited
NSE:SYNCOMF,SYNCOMF,,INE312C01025,Syncom Formulations (India) Limited
NSE:SYNGENE,SYNGENE,,INE398R01022,Syngene International Limited
NSE:SYRMA,SYRMA,,INE0DYJ01015,Syrma SGS Technology Limited
NSE:SYSTMTXC,SYSTMTXC,,INE356B01024,Systematix Corporate Services Limited
NSE:TAALTECH,TAALTECH,,INE524T01011,Taal Tech Limited
NSE:TAINWALCHM,TAINWALCHM,,INE123C01018,Tainwala Chemical and Plastic (I) Limited
NSE:TAJGVK,TAJGVK,,INE586B01026,Taj GVK Hotels & Resorts Limited
NSE:TAKE,TAKE,,INE142I01023,Take Solutions Limited
NSE:TALBROAUTO,TALBROAUTO,,INE187D01029,Talbros Automotive Components Limited
NSE:TAMBOLIIN,TAMBOLIIN,,INE864J01012,Tamboli Industries Limited
NSE:TANLA,TANLA,,INE483C01032,Tanla Platforms Limited
NSE:TARACHAND,TARACHAND,,INE555Z01020,Tara Chand InfraLogistic Solutions Limited
NSE:TARAPUR,TARAPUR,,INE747K01017,Tarapur Transformers Limited
NSE:TARC,TARC,,INE0EK901012,TARC Limited
NSE:TARIL,TARIL,,INE763I01026,Transformers And Rectifiers (India) Limited
NSE:TARMAT,TARMAT,,INE924H01018,Tarmat Limited
NSE:TARSONS,TARSONS,,INE144Z01023,Tarsons Products Limited
NSE:TASTYBITE,TASTYBITE,,INE488B01017,Tasty Bite Eatables Limited
NSE:TATACAP,TATACAP,,INE976I01016,Tata Capital Limited
NSE:TATACHEM,TATACHEM,,INE092A01019,Tata Chemicals Limited
NSE:TATACOMM,TATACOMM,,INE151A01013,Tata Communications Limited
NSE:TATACONSUM,TATACONSUM,,INE192A01025,TATA CONSUMER PRODUCTS LIMITED
NSE:TATAELXSI,TATAELXSI,,INE670A01012,Tata Elxsi Limited
NSE:TATAINVEST,TATAINVEST,,INE672A01026,Tata Investment Corporation Limited
NSE:TATAPOWER,TATAPOWER,,INE245A01021,Tata Power Company Limited
NSE:TATASTEEL,TATASTEEL,,INE081A01020,Tata Steel Limited
NSE:TATATECH,TATATECH,,INE142M01025,Tata Technologies Limited
NSE:TATVA,TATVA,,INE0GK401011,Tatva Chintan Pharma Chem Limited
NSE:TBOTEK,TBOTEK,,INE673O01025,TBO Tek Limited
NSE:TBZ,TBZ,,INE760L01018,Tribhovandas Bhimji Zaveri Limited
NSE:TCC,TCC,,INE887D01016,TCC Concept Limited
NSE:TCI,TCI,,INE688A01022,Transport Corporation of India Limited
NSE:TCIEXP,TCIEXP,,INE586V01016,TCI Express Limited
NSE:TCIFINANCE,TCIFINANCE,,INE911B01018,TCI Finance Limited
NSE:TCPLPACK,TCPLPACK,,INE822C01015,TCPL Packaging Limited
NSE:TCS,TCS,,INE467B01029,Tata Consultancy Services Limited
NSE:TDPOWERSYS,TDPOWERSYS,,INE419M01027,TD Power Systems Limited
NSE:TEAMGTY,TEAMGTY,,INE289C01025,Team India Guaranty Limited
NSE:TEAMLEASE,TEAMLEASE,,INE985S01024,Teamlease Services Limited
NSE:TECHM,TECHM,,INE669C01036,Tech Mahindra Limited
NSE:TECHNOE,TECHNOE,,INE285K01026,Techno Electric & Engineering Company Limited
NSE:TECHNVISN,TECHNVISN,,INE314H01012,TechNVision Ventures Limited
NSE:TECILCHEM,TECILCHEM,,INE014B01011,TECIL Chemicals and Hydro Power Limited
NSE:TEGA,TEGA,,INE011K01018,Tega Industries Limited
NSE:TEJASNET,TEJASNET,,INE010J01012,Tejas Networks Limited
NSE:TEMBO,TEMBO,,INE869Y01010,Tembo Global Industries Limited
NSE:TENNIND,TENNIND,,INE19RI01016,Tenneco Clean Air India Limited
NSE:TERASOFT,TERASOFT,,INE482B01010,Tera Software Limited
NSE:TEXINFRA,TEXINFRA,,INE435C01024,Texmaco Infrastructure & Holdings Limited
NSE:TEXMOPIPES,TEXMOPIPES,,INE141K01013,Texmo Pipes and Products Limited
NSE:TEXRAIL,TEXRAIL,,INE621L01012,Texmaco Rail & Engineering Limited
NSE:TFCILTD,TFCILTD,,INE305A01023,Tourism Finance Corporation of India Limited
NSE:TFL,TFL,,INE804H01012,Transwarranty Finance Limited
NSE:TGBHOTELS,TGBHOTELS,,INE797H01018,TGB Banquets And Hotels Limited
NSE:THACKER,THACKER,,INE077P01034,Thacker & Company Limited
NSE:THAKDEV,THAKDEV,,INE403F01017,Thakkers Developers Limited
NSE:THANGAMAYL,THANGAMAYL,,INE085J01014,Thangamayil Jewellery Limited
NSE:THEINVEST,THEINVEST,,INE924D01017,The Investment Trust Of India Limited
NSE:THEJO,THEJO,,INE121N01019,Thejo Engineering Limited
NSE:THELEELA,THELEELA,,INE0AQ201015,Leela Palaces Hotels & Resorts Limited
NSE:THEMISMED,THEMISMED,,INE083B01024,Themis Medicare Limited
NSE:THERMAX,THERMAX,,INE152A01029,Thermax Limited
NSE:THOMASCOOK,THOMASCOOK,,INE332A01027,Thomas Cook  (India)  Limited
NSE:THOMASCOTT,THOMASCOTT,,INE480M01011,Thomas Scott (India) Limited
NSE:THYROCARE,THYROCARE,,INE594H01019,Thyrocare Technologies Limited
NSE:TI,TI,,INE133E01013,Tilaknagar Industries Limited
NSE:TICL,TICL,,INE388G01026,Twamev Construction and Infrastructure Limited
NSE:TIGERLOGS,TIGERLOGS,,INE906O01029,Tiger Logistics (India) Limited
NSE:TIIL,TIIL,,INE545H01011,Technocraft Industries (India) Limited
NSE:TIINDIA,TIINDIA,,INE974X01010,Tube Investments of India Limited
NSE:TIJARIA,TIJARIA,,INE440L01017,Tijaria Polypipes Limited
NSE:TIL,TIL,,INE806C01018,TIL Limited
NSE:TIMETECHNO,TIMETECHNO,,INE508G01029,Time Technoplast Limited
NSE:TIMEX,TIMEX,,INE064A01026,Timex Group India Limited
NSE:TIMKEN,TIMKEN,,INE325A01013,Timken India Limited
NSE:TINNARUBR,TINNARUBR,,INE015C01016,Tinna Rubber and Infrastructure Limited
NSE:TIPSFILMS,TIPSFILMS,,INE0LQS01015,Tips Films Limited
NSE:TIPSMUSIC,TIPSMUSIC,,INE716B01029,Tips Music Limited
NSE:TIRUMALCHM,TIRUMALCHM,,INE338A01024,Thirumalai Chemicals Limited
NSE:TIRUPATIFL,TIRUPATIFL,,INE319Y01024,Tirupati Forge Limited
NSE:TITAGARH,TITAGARH,,INE615H01020,TITAGARH RAIL SYSTEMS LIMITED
NSE:TITAN,TITAN,,INE280A01028,Titan Company Limited
NSE:TMB,TMB,,INE668A01016,Tamilnad Mercantile Bank Limited
NSE:TMCV,TMCV,,INE1TAE01010,Tata Motors Limited
NSE:TMPV,TMPV,,INE155A01022,Tata Motors Passenger Vehicles Limited
NSE:TNPETRO,TNPETRO,,INE148A01019,Tamilnadu PetroProducts Limited
NSE:TNPL,TNPL,,INE107A01015,Tamil Nadu Newsprint & Papers Limited
NSE:TNTELE,TNTELE,,INE141D01018,Tamilnadu Telecommunication Limited
NSE:TOKYOPLAST,TOKYOPLAST,,INE932C01012,Tokyo Plast International Limited
NSE:TOLINS,TOLINS,,INE0RWQ01014,Tolins Tyres Limited
NSE:TORNTPHARM,TORNTPHARM,,INE685A01028,Torrent Pharmaceuticals Limited
NSE:TORNTPOWER,TORNTPOWER,,INE813H01021,Torrent Power Limited
NSE:TOTAL,TOTAL,,INE336X01012,Total Transport Systems Limited
NSE:TOUCHWOOD,TOUCHWOOD,,INE486Y01013,Touchwood Entertainment Limited
NSE:TPHQ,TPHQ,,INE065J01024,Teamo Productions HQ Limited
NSE:TPLPLASTEH,TPLPLASTEH,,INE413G01022,TPL Plastech Limited
NSE:TRACXN,TRACXN,,INE0HMF01019,Tracxn Technologies Limited
NSE:TRANSPEK,TRANSPEK,,INE687A01016,Transpek Industry Limited
NSE:TRANSRAILL,TRANSRAILL,,INE454P01035,Transrail Lighting Limited
NSE:TRANSWORLD,TRANSWORLD,,INE757B01015,TRANSWORLD SHIPPING LINES LIMITED
NSE:TRAVELFOOD,TRAVELFOOD,,INE103V01028,Travel Food Services Limited
NSE:TREEHOUSE,TREEHOUSE,,INE040M01013,Tree House Education & Accessories Limited
NSE:TREJHARA,TREJHARA,,INE00CA01015,TREJHARA SOLUTIONS LIMITED
NSE:TREL,TREL,,INE0O3901029,Transindia Real Estate Limited
NSE:TRENT,TRENT,,INE849A01020,Trent Limited
NSE:TRF,TRF,,INE391D01019,TRF Limited
NSE:TRIDENT,TRIDENT,,INE064C01022,Trident Limited
NSE:TRIGYN,TRIGYN,,INE948A01012,Trigyn Technologies Limited
NSE:TRITURBINE,TRITURBINE,,INE152M01016,Triveni Turbine Limited
NSE:TRIVENI,TRIVENI,,INE256C01024,Triveni Engineering & Industries Limited
NSE:TRU,TRU,,INE615R01029,TruCap Finance Limited
NSE:TRUALT,TRUALT,,INE0MWH01014,TruAlt Bioenergy Limited
NSE:TSFINV,TSFINV,,INE202Z01029,TSF INVESTMENTS LIMITED
NSE:TTKHLTCARE,TTKHLTCARE,,INE910C01018,TTK Healthcare Limited
NSE:TTKPRESTIG,TTKPRESTIG,,INE690A01028,TTK Prestige Limited
NSE:TTL,TTL,,INE592B01024,T T Limited
NSE:TTML,TTML,,INE517B01013,Tata Teleservices (Maharashtra) Limited
NSE:TVSELECT,TVSELECT,,INE236G01019,TVS Electronics Limited
NSE:TVSHLTD,TVSHLTD,,INE105A01035,TVS Holdings Limited
NSE:TVSMOTOR,TVSMOTOR,,INE494B01023,TVS Motor Company Limited
NSE:TVSSCS,TVSSCS,,INE395N01027,TVS Supply Chain Solutions Limited
NSE:TVSSRICHAK,TVSSRICHAK,,INE421C01016,TVS Srichakra Limited
NSE:TVTODAY,TVTODAY,,INE038F01029,TV Today Network Limited
NSE:TVVISION,TVVISION,,INE871L01013,TV Vision Limited
NSE:UBL,UBL,,INE686F01025,United Breweries Limited
NSE:UCAL,UCAL,,INE139B01016,UCAL LIMITED
NSE:UCOBANK,UCOBANK,,INE691A01018,UCO Bank
NSE:UDS,UDS,,INE851I01011,Updater Services Limited
NSE:UEL,UEL,,INE899L01030,Ujaas Energy Limited
NSE:UFBL,UFBL,,INE382M01027,United Foodbrands Limited
NSE:UFLEX,UFLEX,,INE516A01017,UFLEX Limited
NSE:UFO,UFO,,INE527H01019,UFO Moviez India Limited
NSE:UGARSUGAR,UGARSUGAR,,INE071E01023,The Ugar Sugar Works Limited
NSE:UGROCAP,UGROCAP,,INE583D01011,Ugro Capital Limited
NSE:UJJIVANSFB,UJJIVANSFB,,INE551W01018,Ujjivan Small Finance Bank Limited
NSE:ULTRACEMCO,ULTRACEMCO,,INE481G01011,UltraTech Cement Limited
NSE:ULTRAMAR,ULTRAMAR,,INE405A01021,Ultramarine & Pigments Limited
NSE:UMAEXPORTS,UMAEXPORTS,,INE0GIU01018,Uma Exports Limited
NSE:UMESLTD,UMESLTD,,INE240C01028,Usha Martin Education & Solutions Limited
NSE:UMIYA-MRO,UMIYA-MRO,,INE398B01018,UMIYA BUILDCON LIMITED
NSE:UNICHEMLAB,UNICHEMLAB,,INE351A01035,Unichem Laboratories Limited
NSE:UNIDT,UNIDT,,INE961D01019,United Drilling Tools Limited
NSE:UNIECOM,UNIECOM,,INE00U401027,Unicommerce Esolutions Limited
NSE:UNIENTER,UNIENTER,,INE037A01022,Uniphos Enterprises Limited
NSE:UNIINFO,UNIINFO,,INE481Z01011,Uniinfo Telecom Services Limited
NSE:UNIMECH,UNIMECH,,INE0U3I01011,Unimech Aerospace and Manufacturing Limited
NSE:UNIONBANK,UNIONBANK,,INE692A01016,Union Bank of India
NSE:UNIPARTS,UNIPARTS,,INE244O01017,Uniparts India Limited
NSE:UNITDSPR,UNITDSPR,,INE854D01024,United Spirits Limited
